n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
16, 4, NAN, 0.59kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.003738sec, 8118
16, 5, NAN, 1.10kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.003593sec, 7741
16, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.000828sec, 1714
16, 7, NAN, 4.18kb, 0.000025sec, RES=1312kb, VmSize=3700kb, 0.000423sec, 792
16, 8, NAN, 8.27kb, 0.000053sec, RES=1312kb, VmSize=3700kb, 0.000671sec, 1300
17, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.047699sec, 102425
17, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000032sec, 53
17, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.005543sec, 12010
17, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.002286sec, 4836
17, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.000983sec, 2102
17, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.000193sec, 369
17, 7, NAN, 4.18kb, 0.000025sec, RES=1312kb, VmSize=3700kb, 0.000253sec, 469
17, 8, NAN, 8.27kb, 0.000051sec, RES=1312kb, VmSize=3700kb, 0.000051, 0
18, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.090033sec, 194787
18, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.056491sec, 123042
18, 3, NAN, 0.34kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.005993sec, 12935
18, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.011706sec, 25461
18, 5, NAN, 1.10kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.001351sec, 2894
18, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.000036sec, 38
18, 7, NAN, 4.18kb, 0.000026sec, RES=1312kb, VmSize=3700kb, 0.000060sec, 63
18, 8, NAN, 8.27kb, 0.000050sec, RES=1312kb, VmSize=3700kb, 0.001060sec, 2179
18, 9, NAN, 16.46kb, 0.000101sec, RES=1312kb, VmSize=3700kb, 0.000101, 0
19, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.132053sec, 286342
19, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.192879sec, 418056
19, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.010421sec, 22549
19, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.012080sec, 26188
19, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.076384sec, 165985
19, 6, NAN, 2.13kb, 0.000012sec, RES=1312kb, VmSize=3700kb, 0.000347sec, 712
19, 7, NAN, 4.18kb, 0.000026sec, RES=1312kb, VmSize=3700kb, 0.001052sec, 2155
19, 8, NAN, 8.27kb, 0.000054sec, RES=1312kb, VmSize=3700kb, 0.000412sec, 754
19, 9, NAN, 16.46kb, 0.000104sec, RES=1312kb, VmSize=3700kb, 0.000422sec, 654
20, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 1.277782sec, 2781515
20, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.120258sec, 260776
20, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.119689sec, 258595
20, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.018458sec, 39935
20, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.011957sec, 25989
20, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.004264sec, 9215
20, 7, NAN, 4.18kb, 0.000025sec, RES=1312kb, VmSize=3700kb, 0.002259sec, 4844
20, 8, NAN, 8.27kb, 0.000049sec, RES=1312kb, VmSize=3700kb, 0.000507sec, 976
20, 9, NAN, 16.46kb, 0.000098sec, RES=1312kb, VmSize=3700kb, 0.000098, 0
20, 10, NAN, 32.85kb, 0.000209sec, RES=1312kb, VmSize=3700kb, 0.000209, 0
21, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 1.020516sec, 2222827
21, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.358646sec, 779758
21, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.037320sec, 81390
21, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.015055sec, 32672
21, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.084415sec, 181907
21, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.009311sec, 20107
21, 7, NAN, 4.18kb, 0.000027sec, RES=1312kb, VmSize=3700kb, 0.021172sec, 45852
21, 8, NAN, 8.27kb, 0.000051sec, RES=1312kb, VmSize=3700kb, 0.002418sec, 5112
21, 9, NAN, 16.46kb, 0.000102sec, RES=1312kb, VmSize=3700kb, 0.003155sec, 6621
21, 10, NAN, 32.85kb, 0.000201sec, RES=1312kb, VmSize=3700kb, 0.000953sec, 1593
22, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 1.479933sec, 3222902
22, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.041787sec, 91142
22, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.072283sec, 155349
22, 4, NAN, 0.59kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.100121sec, 217781
22, 5, NAN, 1.10kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.022006sec, 46521
22, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.002379sec, 5118
