n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
62, 29, NAN, 25769803.86kb, 227.510671sec, RES=25168184kb, VmSize=25169824kb, 247.738725sec, 380356529, 877047
63, 29, NAN, 25769803.86kb, 221.298531sec, RES=25168448kb, VmSize=25325548kb, 577.464905sec, 5448614813, 251503532
64, 29, NAN, 25769803.86kb, 215.427356sec, RES=25168448kb, VmSize=25325548kb, 12232.844145sec, 228883845514, 475438706
65, 29, NAN, 25769803.86kb, 289.925740sec, RES=25168448kb, VmSize=25325548kb, 11794.504806sec, 219462795487, 213582680
66, 29, NAN, 25769803.86kb, 212.981464sec, RES=25168448kb, VmSize=25325548kb, 8892.316576sec, 165479613223, 327846937
67, 29, NAN, 25769803.86kb, 215.595402sec, RES=25168448kb, VmSize=25325548kb, 15565.555509sec, 271872144820, 528833165
68, 29, NAN, 25769803.86kb, 214.528458sec, RES=25168448kb, VmSize=25325548kb, 29936.178132sec, 514680750191, 346982507
69, 29, NAN, 25769803.86kb, 290.188492sec, RES=25168448kb, VmSize=25325548kb, 18139.687174sec, 330330118394, 457122673
70, 29, NAN, 25769803.86kb, 289.974821sec, RES=25168276kb, VmSize=25325548kb, 21407.505468sec, 398708785747, 350215464
