n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
4, 2, NAN, 0.27kb, 0.000002sec, RES=1364kb, VmSize=3992kb, 0.001458sec, 22, 1
5, 2, NAN, 0.27kb, 0.000002sec, RES=1364kb, VmSize=159716kb, 0.000168sec, 21, 2
6, 2, NAN, 0.27kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000082sec, 55, 2
6, 3, NAN, 0.46kb, 0.000002sec, RES=1364kb, VmSize=159716kb, 0.000080sec, 15, 5
7, 2, NAN, 0.27kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000071sec, 33, 2
7, 3, NAN, 0.46kb, 0.000002sec, RES=1364kb, VmSize=159716kb, 0.000080sec, 17, 1
8, 2, NAN, 0.27kb, 0.000002sec, RES=1364kb, VmSize=159716kb, 0.000316sec, 44, 3
8, 3, NAN, 0.46kb, 0.000003sec, RES=1364kb, VmSize=159716kb, 0.000084sec, 32, 2
8, 4, NAN, 0.85kb, 0.000004sec, RES=1364kb, VmSize=159716kb, 0.000089sec, 46, 2
9, 2, NAN, 0.27kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000082sec, 101, 3
9, 3, NAN, 0.46kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000019sec, 151, 4
9, 4, NAN, 0.85kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000015sec, 55, 3
10, 2, NAN, 0.27kb, 0.000000sec, RES=1364kb, VmSize=159716kb, 0.000023sec, 282, 3
10, 3, NAN, 0.46kb, 0.000000sec, RES=1364kb, VmSize=159716kb, 0.000015sec, 55, 4
10, 4, NAN, 0.85kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000015sec, 55, 11
10, 5, NAN, 1.62kb, 0.000002sec, RES=1364kb, VmSize=159716kb, 0.000016sec, 55, 5
11, 2, NAN, 0.27kb, 0.000000sec, RES=1364kb, VmSize=159716kb, 0.000029sec, 637, 2
11, 3, NAN, 0.46kb, 0.000000sec, RES=1364kb, VmSize=159716kb, 0.000020sec, 264, 7
11, 4, NAN, 0.85kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000014sec, 35, 3
11, 5, NAN, 1.62kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000016sec, 54, 5
12, 2, NAN, 0.27kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000027sec, 549, 1
12, 3, NAN, 0.46kb, 0.000001sec, RES=1364kb, VmSize=159716kb, 0.000032sec, 751, 4
