n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
16, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 1
16, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000024sec, 0, 3
16, 3, NAN, 0.46kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000028sec, 0, 7
16, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 15
16, 5, NAN, 1.62kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 31
16, 6, NAN, 3.15kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.000028sec, 0, 63
16, 7, NAN, 6.22kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.000033sec, 0, 127
16, 8, NAN, 12.37kb, 0.000011sec, RES=1388kb, VmSize=190040kb, 0.000036sec, 0, 255
17, 1, NAN, 0.18kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 1
17, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 3
17, 3, NAN, 0.46kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 7
17, 4, NAN, 0.85kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000024sec, 0, 15
17, 5, NAN, 1.62kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 31
17, 6, NAN, 3.15kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 63
17, 7, NAN, 6.22kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.000031sec, 0, 127
17, 8, NAN, 12.37kb, 0.000011sec, RES=1388kb, VmSize=190040kb, 0.000038sec, 0, 255
18, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 1
18, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000024sec, 0, 3
18, 3, NAN, 0.46kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 7
18, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000028sec, 0, 15
18, 5, NAN, 1.62kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.000028sec, 0, 31
18, 6, NAN, 3.15kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.000029sec, 0, 63
18, 7, NAN, 6.22kb, 0.000006sec, RES=1388kb, VmSize=190040kb, 0.000033sec, 0, 127
18, 8, NAN, 12.37kb, 0.000011sec, RES=1388kb, VmSize=190040kb, 0.000035sec, 0, 255
18, 9, NAN, 24.66kb, 0.000025sec, RES=1388kb, VmSize=190040kb, 0.000051sec, 0, 511
19, 1, NAN, 0.18kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000047sec, 0, 1
19, 2, NAN, 0.27kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 3
19, 3, NAN, 0.46kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 7
19, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 15
19, 5, NAN, 1.62kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 31
19, 6, NAN, 3.15kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 63
19, 7, NAN, 6.22kb, 0.000006sec, RES=1388kb, VmSize=190040kb, 0.000032sec, 0, 127
19, 8, NAN, 12.37kb, 0.000010sec, RES=1388kb, VmSize=190040kb, 0.000035sec, 0, 255
19, 9, NAN, 24.66kb, 0.000021sec, RES=1388kb, VmSize=190040kb, 0.000046sec, 0, 511
20, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 1
20, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 3
20, 3, NAN, 0.46kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 7
20, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 15
20, 5, NAN, 1.62kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 31
20, 6, NAN, 3.15kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 63
20, 7, NAN, 6.22kb, 0.000006sec, RES=1388kb, VmSize=190040kb, 0.000031sec, 0, 127
20, 8, NAN, 12.37kb, 0.000010sec, RES=1388kb, VmSize=190040kb, 0.000035sec, 0, 255
20, 9, NAN, 24.66kb, 0.000021sec, RES=1388kb, VmSize=190040kb, 0.000047sec, 0, 511
20, 10, NAN, 49.23kb, 0.000050sec, RES=1388kb, VmSize=190040kb, 0.000077sec, 0, 1023
21, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000024sec, 0, 1
21, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 3
21, 3, NAN, 0.46kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 7
21, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000028sec, 0, 15
21, 5, NAN, 1.62kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 31
21, 6, NAN, 3.15kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.000030sec, 0, 63
21, 7, NAN, 6.22kb, 0.000006sec, RES=1388kb, VmSize=190040kb, 0.000030sec, 0, 127
21, 8, NAN, 12.37kb, 0.000010sec, RES=1388kb, VmSize=190040kb, 0.000035sec, 0, 255
21, 9, NAN, 24.66kb, 0.000021sec, RES=1388kb, VmSize=190040kb, 0.000045sec, 0, 511
21, 10, NAN, 49.23kb, 0.000043sec, RES=1388kb, VmSize=190040kb, 0.000070sec, 0, 1023
22, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 1
22, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 3
22, 3, NAN, 0.46kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000026sec, 0, 7
22, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 15
22, 5, NAN, 1.62kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 31
22, 6, NAN, 3.15kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 63
22, 7, NAN, 6.22kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.000031sec, 0, 127
22, 8, NAN, 12.37kb, 0.000010sec, RES=1388kb, VmSize=190040kb, 0.000037sec, 0, 255
22, 9, NAN, 24.66kb, 0.000020sec, RES=1388kb, VmSize=190040kb, 0.000047sec, 0, 511
