n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
31, 3, NAN, 0.46kb, 0.000002sec, RES=1412kb, VmSize=3992kb, 7.417825sec, 215415698, 7
31, 4, NAN, 0.85kb, 0.000002sec, RES=1412kb, VmSize=159716kb, 10.023912sec, 255426956, 15
31, 5, NAN, 1.62kb, 0.000003sec, RES=1412kb, VmSize=159716kb, 0.127720sec, 3284860, 18
31, 6, NAN, 3.15kb, 0.000005sec, RES=1412kb, VmSize=159716kb, 0.978684sec, 25072146, 38
31, 7, NAN, 6.22kb, 0.000011sec, RES=1412kb, VmSize=159716kb, 1.128832sec, 29110825, 21
31, 8, NAN, 12.37kb, 0.000020sec, RES=1412kb, VmSize=159716kb, 0.055678sec, 1424936, 248
31, 9, NAN, 24.66kb, 0.000044sec, RES=1412kb, VmSize=159716kb, 0.432568sec, 11149415, 319
31, 10, NAN, 49.23kb, 0.000086sec, RES=1412kb, VmSize=159716kb, 0.092774sec, 2367522, 209
31, 11, NAN, 98.38kb, 0.000170sec, RES=2696kb, VmSize=159716kb, 0.000938sec, 17517, 1518
31, 12, NAN, 196.69kb, 0.000389sec, RES=2696kb, VmSize=159912kb, 0.015334sec, 286020, 3916
31, 13, NAN, 393.30kb, 0.000745sec, RES=2996kb, VmSize=160104kb, 0.010817sec, 253750, 7648
31, 14, NAN, 786.51kb, 0.001480sec, RES=3260kb, VmSize=160488kb, 0.001663sec, 2567, 186
31, 15, NAN, 1572.94kb, 0.003052sec, RES=4052kb, VmSize=161256kb, 0.006646sec, 89281, 31570
32, 3, NAN, 0.46kb, 0.000001sec, RES=2736kb, VmSize=159716kb, 8.123332sec, 212377805, 3
32, 4, NAN, 0.85kb, 0.000002sec, RES=2736kb, VmSize=159716kb, 5.183001sec, 134102723, 14
32, 5, NAN, 1.62kb, 0.000003sec, RES=2736kb, VmSize=159716kb, 0.899133sec, 22589351, 7
32, 6, NAN, 3.15kb, 0.000005sec, RES=2736kb, VmSize=159716kb, 2.135438sec, 54703362, 12
32, 7, NAN, 6.22kb, 0.000009sec, RES=2736kb, VmSize=159716kb, 0.040051sec, 1027133, 17
32, 8, NAN, 12.37kb, 0.000016sec, RES=2736kb, VmSize=159716kb, 0.153903sec, 3815014, 2
32, 9, NAN, 24.66kb, 0.000032sec, RES=2736kb, VmSize=159716kb, 0.008342sec, 214473, 143
32, 10, NAN, 49.23kb, 0.000064sec, RES=2736kb, VmSize=159716kb, 0.026770sec, 641740, 75
32, 11, NAN, 98.38kb, 0.000129sec, RES=2736kb, VmSize=159716kb, 0.160755sec, 3734829, 1340
32, 12, NAN, 196.69kb, 0.000300sec, RES=2736kb, VmSize=159928kb, 0.039981sec, 856779, 1142
32, 13, NAN, 393.30kb, 0.000593sec, RES=2996kb, VmSize=160120kb, 0.017794sec, 431485, 1518
32, 14, NAN, 786.51kb, 0.001172sec, RES=3260kb, VmSize=160504kb, 0.038102sec, 911468, 13836
32, 15, NAN, 1572.94kb, 0.002570sec, RES=4052kb, VmSize=161272kb, 0.005405sec, 27886, 13948
32, 16, NAN, 3145.81kb, 0.005850sec, RES=7220kb, VmSize=164348kb, 0.006608sec, 5057, 40690
33, 3, NAN, 0.46kb, 0.000002sec, RES=4176kb, VmSize=161272kb, 36.205830sec, 944259678, 6
33, 4, NAN, 0.85kb, 0.000001sec, RES=4176kb, VmSize=161272kb, 4.289200sec, 112390982, 12
33, 5, NAN, 1.62kb, 0.000002sec, RES=4176kb, VmSize=161272kb, 5.046208sec, 130535745, 31
