n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
10, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=3992kb, 0.001521sec, 27, 15
10, 5, NAN, 1.62kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.001505sec, 86, 19
11, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000037sec, 176, 3
11, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000038sec, 83, 3
12, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000039sec, 220, 5
12, 5, NAN, 1.62kb, 0.000002sec, RES=1416kb, VmSize=159716kb, 0.000040sec, 36, 3
12, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000038sec, 130, 38
13, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000068sec, 1933, 15
13, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000035sec, 34, 17
13, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000039sec, 208, 12
14, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000041sec, 475, 8
14, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000052sec, 1280, 4
14, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000037sec, 733, 12
14, 7, NAN, 6.22kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.000038sec, 252, 57
15, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000044sec, 1132, 11
15, 5, NAN, 1.62kb, 0.000002sec, RES=1416kb, VmSize=159716kb, 0.000044sec, 1078, 10
15, 6, NAN, 3.15kb, 0.000002sec, RES=1416kb, VmSize=159716kb, 0.000038sec, 186, 15
15, 7, NAN, 6.22kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.000037sec, 594, 102
16, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000200sec, 7348, 2
16, 5, NAN, 1.62kb, 0.000002sec, RES=1416kb, VmSize=159716kb, 0.000037sec, 749, 25
16, 6, NAN, 3.15kb, 0.000002sec, RES=1416kb, VmSize=159716kb, 0.000031sec, 636, 43
16, 7, NAN, 6.22kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.000021sec, 117, 58
16, 8, NAN, 12.37kb, 0.000010sec, RES=1416kb, VmSize=159716kb, 0.000028sec, 168, 108
17, 4, NAN, 0.85kb, 0.000000sec, RES=1416kb, VmSize=159716kb, 0.000035sec, 900, 15
17, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000113sec, 4048, 15
17, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000017sec, 44, 56
17, 7, NAN, 6.22kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.000020sec, 121, 77
17, 8, NAN, 12.37kb, 0.000011sec, RES=1416kb, VmSize=159716kb, 0.000025sec, 58, 193
18, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000460sec, 18383, 1
18, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000684sec, 27691, 31
18, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000044sec, 1191, 44
18, 7, NAN, 6.22kb, 0.000006sec, RES=1416kb, VmSize=159716kb, 0.000065sec, 1829, 75
18, 8, NAN, 12.37kb, 0.000011sec, RES=1416kb, VmSize=159716kb, 0.000060sec, 1483, 23
18, 9, NAN, 24.66kb, 0.000025sec, RES=1416kb, VmSize=159716kb, 0.000062sec, 947, 351
19, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000401sec, 16007, 12
19, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000047sec, 1360, 14
19, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000182sec, 6877, 34
19, 7, NAN, 6.22kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.000093sec, 3020, 63
19, 8, NAN, 12.37kb, 0.000011sec, RES=1416kb, VmSize=159716kb, 0.000131sec, 4389, 35
19, 9, NAN, 24.66kb, 0.000022sec, RES=1416kb, VmSize=159716kb, 0.000085sec, 2020, 205
20, 4, NAN, 0.85kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.000110sec, 3954, 13
20, 5, NAN, 1.62kb, 0.000001sec, RES=1416kb, VmSize=159716kb, 0.001782sec, 72134, 9
20, 6, NAN, 3.15kb, 0.000003sec, RES=1416kb, VmSize=159716kb, 0.000581sec, 23272, 13
20, 7, NAN, 6.22kb, 0.000005sec, RES=1416kb, VmSize=159716kb, 0.000111sec, 3830, 26
20, 8, NAN, 12.37kb, 0.000011sec, RES=1416kb, VmSize=159716kb, 0.000038sec, 583, 151
20, 9, NAN, 24.66kb, 0.000022sec, RES=1416kb, VmSize=159716kb, 0.000074sec, 1602, 367
20, 10, NAN, 49.23kb, 0.000050sec, RES=1416kb, VmSize=159716kb, 0.000117sec, 2120, 907
