n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
2, 1, NAN, 0.18kb, 0.000002sec, RES=1416kb, VmSize=3996kb, 0.000002, 0, 1 cycle
3, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=3996kb, 0.027690sec, 11, 1
4, 1, NAN, 0.18kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.015445sec, 14, 1
4, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000028sec, 22, 1
5, 1, NAN, 0.18kb, 0.000000sec, RES=1416kb, VmSize=190044kb, 0.000020sec, 31, 1
5, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000021sec, 30, 2
6, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000020sec, 34, 1
6, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000018sec, 37, 2
6, 3, NAN, 0.46kb, 0.000003sec, RES=1416kb, VmSize=190044kb, 0.000021sec, 32, 6
7, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000024sec, 193, 1
7, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000019sec, 37, 1
7, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000022sec, 68, 6
8, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000019sec, 76, 1
8, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000020sec, 58, 2
8, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000020sec, 76, 2
8, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000021sec, 34, 10
9, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000026sec, 272, 1
9, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000017sec, 54, 1
9, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000021sec, 58, 5
9, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000019sec, 34, 1
10, 1, NAN, 0.18kb, 0.000000sec, RES=1416kb, VmSize=190044kb, 0.000027sec, 306, 1
10, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000029sec, 297, 2
10, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000022sec, 108, 5
10, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000024sec, 109, 6
10, 5, NAN, 1.62kb, 0.000008sec, RES=1416kb, VmSize=190044kb, 0.000030sec, 22, 11
11, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000041sec, 666, 1
11, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000032sec, 443, 1
11, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000022sec, 149, 3
11, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000027sec, 231, 10
11, 5, NAN, 1.62kb, 0.000007sec, RES=1416kb, VmSize=190044kb, 0.000029sec, 200, 16
12, 1, NAN, 0.18kb, 0.000000sec, RES=1416kb, VmSize=190044kb, 0.000060sec, 1203, 1
12, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000133sec, 3076, 3
12, 3, NAN, 0.46kb, 0.000003sec, RES=1416kb, VmSize=190044kb, 0.000036sec, 518, 2
12, 4, NAN, 0.85kb, 0.000005sec, RES=1416kb, VmSize=190044kb, 0.000023sec, 68, 2
12, 5, NAN, 1.62kb, 0.000007sec, RES=1416kb, VmSize=190044kb, 0.000033sec, 291, 3
12, 6, NAN, 3.15kb, 0.000015sec, RES=1416kb, VmSize=190044kb, 0.000030sec, 27, 59
13, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000122sec, 885, 1
13, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000390sec, 9822, 2
13, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000030sec, 366, 5
13, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000034sec, 404, 5
13, 5, NAN, 1.62kb, 0.000007sec, RES=1416kb, VmSize=190044kb, 0.000035sec, 373, 25
13, 6, NAN, 3.15kb, 0.000016sec, RES=1416kb, VmSize=190044kb, 0.000033sec, 56, 28
14, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000114sec, 2560, 1
14, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000135sec, 3120, 3
14, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000026sec, 252, 7
14, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000042sec, 634, 8
14, 5, NAN, 1.62kb, 0.000007sec, RES=1416kb, VmSize=190044kb, 0.000049sec, 712, 22
14, 6, NAN, 3.15kb, 0.000015sec, RES=1416kb, VmSize=190044kb, 0.000031sec, 36, 33
14, 7, NAN, 6.22kb, 0.000031sec, RES=1416kb, VmSize=190044kb, 0.000031, 0, 69 cycle
15, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000217sec, 5221, 1
15, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000082sec, 1746, 3
15, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000074sec, 1505, 7
15, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000165sec, 3854, 12
15, 5, NAN, 1.62kb, 0.000008sec, RES=1416kb, VmSize=190044kb, 0.000041sec, 512, 26
15, 6, NAN, 3.15kb, 0.000015sec, RES=1416kb, VmSize=190044kb, 0.000081sec, 1294, 17
15, 7, NAN, 6.22kb, 0.000031sec, RES=1416kb, VmSize=190044kb, 0.000047sec, 74, 113
16, 1, NAN, 0.18kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000574sec, 14595, 1
16, 2, NAN, 0.27kb, 0.000001sec, RES=1416kb, VmSize=190044kb, 0.000700sec, 18027, 2
16, 3, NAN, 0.46kb, 0.000002sec, RES=1416kb, VmSize=190044kb, 0.000629sec, 15219, 6
16, 4, NAN, 0.85kb, 0.000004sec, RES=1416kb, VmSize=190044kb, 0.000327sec, 8102, 4
