n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
4, 1, NAN, 0.18kb, 0.000002sec, RES=1372kb, VmSize=3992kb, 0.001374sec, 46, 1
4, 2, NAN, 0.27kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000369sec, 28, 1
5, 1, NAN, 0.18kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000304sec, 24, 1
5, 2, NAN, 0.27kb, 0.000002sec, RES=1372kb, VmSize=159716kb, 0.000226sec, 30, 3
6, 1, NAN, 0.18kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000055sec, 111, 1
6, 2, NAN, 0.27kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000055sec, 33, 3
6, 3, NAN, 0.46kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000054sec, 21, 3
7, 1, NAN, 0.18kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000053sec, 18, 1
7, 2, NAN, 0.27kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000051sec, 35, 1
7, 3, NAN, 0.46kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000052sec, 34, 7
8, 1, NAN, 0.18kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000052sec, 48, 1
8, 2, NAN, 0.27kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000051sec, 93, 2
8, 3, NAN, 0.46kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000052sec, 34, 1
8, 4, NAN, 0.85kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000049sec, 53, 8
9, 1, NAN, 0.18kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000053sec, 170, 1
9, 2, NAN, 0.27kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000054sec, 104, 3
9, 3, NAN, 0.46kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.013073sec, 18, 1
9, 4, NAN, 0.85kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.026218sec, 18, 12
10, 1, NAN, 0.18kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000125sec, 461, 1
10, 2, NAN, 0.27kb, 0.000000sec, RES=1372kb, VmSize=159716kb, 0.000141sec, 549, 1
10, 3, NAN, 0.46kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000129sec, 31, 4
10, 4, NAN, 0.85kb, 0.000001sec, RES=1372kb, VmSize=159716kb, 0.000196sec, 147, 14
10, 5, NAN, 1.62kb, 0.000002sec, RES=1372kb, VmSize=159716kb, 0.000095sec, 20, 25
