n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
21, 10, NAN, 0.00kb, 0.000050sec, RES=1388kb, VmSize=190040kb, 0.007903sec, 4636, 157
22, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.027972sec, 341343, 4
22, 5, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.027902sec, 98356, 9
22, 6, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.026815sec, 20832, 13
22, 7, NAN, 0.00kb, 0.000009sec, RES=1388kb, VmSize=190040kb, 0.026861sec, 22769, 125
22, 8, NAN, 0.00kb, 0.000019sec, RES=1388kb, VmSize=190040kb, 0.001515sec, 21243, 30
22, 9, NAN, 0.00kb, 0.000031sec, RES=1388kb, VmSize=190040kb, 0.000415sec, 14619, 58
22, 10, NAN, 0.00kb, 0.000055sec, RES=1388kb, VmSize=190040kb, 0.000272sec, 7603, 697
22, 11, NAN, 0.00kb, 0.000112sec, RES=1388kb, VmSize=190040kb, 0.000174sec, 1038, 1234
23, 4, NAN, 0.00kb, 0.000008sec, RES=1388kb, VmSize=190040kb, 0.020376sec, 788693, 14
23, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.007690sec, 306813, 24
23, 6, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.001855sec, 73440, 28
23, 7, NAN, 0.00kb, 0.000012sec, RES=1388kb, VmSize=190040kb, 0.008151sec, 95822, 118
23, 8, NAN, 0.00kb, 0.000017sec, RES=1388kb, VmSize=190040kb, 0.006025sec, 133197, 111
23, 9, NAN, 0.00kb, 0.000026sec, RES=1388kb, VmSize=190040kb, 0.000663sec, 24445, 328
23, 10, NAN, 0.00kb, 0.000055sec, RES=1388kb, VmSize=190040kb, 0.001185sec, 44030, 522
23, 11, NAN, 0.00kb, 0.000104sec, RES=1388kb, VmSize=190040kb, 0.000407sec, 10731, 1793
24, 4, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.023040sec, 682013, 11
24, 5, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.019667sec, 471688, 3
24, 6, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.000380sec, 6878, 8
24, 7, NAN, 0.00kb, 0.000008sec, RES=1388kb, VmSize=190040kb, 0.001234sec, 48272, 111
24, 8, NAN, 0.00kb, 0.000013sec, RES=1388kb, VmSize=190040kb, 0.002990sec, 116689, 11
24, 9, NAN, 0.00kb, 0.000025sec, RES=1388kb, VmSize=190040kb, 0.000789sec, 29714, 499
