n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
31, 3, NAN, 0.46kb, 0.000006sec, RES=1368kb, VmSize=3992kb, 24.700373sec, 572887593, 6
31, 4, NAN, 0.85kb, 0.000006sec, RES=1368kb, VmSize=190040kb, 8.391324sec, 159196355, 10
31, 5, NAN, 1.62kb, 0.000014sec, RES=1368kb, VmSize=190040kb, 2.088727sec, 34927411, 19
31, 6, NAN, 3.15kb, 0.000031sec, RES=1368kb, VmSize=190040kb, 1.257039sec, 20962742, 49
31, 7, NAN, 6.22kb, 0.000053sec, RES=1368kb, VmSize=190040kb, 0.249834sec, 4184184, 61
31, 8, NAN, 12.37kb, 0.000102sec, RES=1368kb, VmSize=190040kb, 0.136586sec, 2275615, 50
31, 9, NAN, 24.66kb, 0.007347sec, RES=1368kb, VmSize=190040kb, 0.045593sec, 644659, 224
31, 10, NAN, 49.23kb, 0.000413sec, RES=1368kb, VmSize=190040kb, 0.181176sec, 3002316, 423
31, 11, NAN, 98.38kb, 0.000864sec, RES=2820kb, VmSize=190040kb, 0.280124sec, 4205848, 828
31, 12, NAN, 196.69kb, 0.001652sec, RES=2820kb, VmSize=190236kb, 0.035827sec, 502923, 1731
31, 13, NAN, 393.30kb, 0.003257sec, RES=3128kb, VmSize=190428kb, 0.027879sec, 67076, 305
31, 14, NAN, 786.51kb, 0.006321sec, RES=3392kb, VmSize=190812kb, 0.027915sec, 70254, 4640
31, 15, NAN, 1572.94kb, 0.012545sec, RES=4184kb, VmSize=191580kb, 0.031803sec, 193320, 15999
32, 3, NAN, 0.46kb, 0.000003sec, RES=2868kb, VmSize=190040kb, 59.977056sec, 1016877236, 4
32, 4, NAN, 0.85kb, 0.000008sec, RES=2868kb, VmSize=190040kb, 29.769456sec, 506224652, 12
32, 5, NAN, 1.62kb, 0.000015sec, RES=2868kb, VmSize=190040kb, 3.759791sec, 63872537, 23
32, 6, NAN, 3.15kb, 0.000029sec, RES=2868kb, VmSize=190040kb, 0.244378sec, 4123080, 13
32, 7, NAN, 6.22kb, 0.000057sec, RES=2868kb, VmSize=190040kb, 0.437926sec, 7377462, 106
32, 8, NAN, 12.37kb, 0.000115sec, RES=2868kb, VmSize=190040kb, 2.875208sec, 48871102, 38
32, 9, NAN, 24.66kb, 0.000225sec, RES=2868kb, VmSize=190040kb, 0.110007sec, 1807439, 277
32, 10, NAN, 49.23kb, 0.000456sec, RES=2868kb, VmSize=190040kb, 0.257895sec, 4342485, 294
32, 11, NAN, 98.38kb, 0.008655sec, RES=2868kb, VmSize=190040kb, 0.041029sec, 552416, 1947
32, 12, NAN, 196.69kb, 0.001863sec, RES=2868kb, VmSize=190252kb, 0.057181sec, 919446, 2405
32, 13, NAN, 393.30kb, 0.003720sec, RES=3128kb, VmSize=190444kb, 0.024976sec, 338495, 7286
32, 14, NAN, 786.51kb, 0.007521sec, RES=3392kb, VmSize=190828kb, 0.009252sec, 26917, 133
32, 15, NAN, 1572.94kb, 0.015816sec, RES=4184kb, VmSize=191596kb, 0.017679sec, 29154, 15072
32, 16, NAN, 3145.81kb, 0.032178sec, RES=7352kb, VmSize=194672kb, 0.047174sec, 88081, 26664
33, 3, NAN, 0.46kb, 0.000004sec, RES=4308kb, VmSize=191596kb, 244.550019sec, 4144933572, 6
33, 4, NAN, 0.85kb, 0.000008sec, RES=4308kb, VmSize=191596kb, 9.690247sec, 164536655, 13
33, 5, NAN, 1.62kb, 0.000015sec, RES=4308kb, VmSize=191596kb, 4.899531sec, 83068061, 11
33, 6, NAN, 3.15kb, 0.000029sec, RES=4308kb, VmSize=191596kb, 4.901142sec, 82937694, 10
33, 7, NAN, 6.22kb, 0.000058sec, RES=4308kb, VmSize=191596kb, 1.321401sec, 22347475, 63
33, 8, NAN, 12.37kb, 0.000113sec, RES=4308kb, VmSize=191596kb, 1.035644sec, 17081021, 249
33, 9, NAN, 24.66kb, 0.000227sec, RES=4308kb, VmSize=191596kb, 0.385834sec, 6438599, 336
33, 10, NAN, 49.23kb, 0.000453sec, RES=4308kb, VmSize=191596kb, 1.115305sec, 18825818, 799
33, 11, NAN, 98.38kb, 0.000917sec, RES=4308kb, VmSize=191596kb, 0.167116sec, 2674002, 2000
33, 12, NAN, 196.69kb, 0.001843sec, RES=4308kb, VmSize=191596kb, 0.095837sec, 1241110, 1230
33, 13, NAN, 393.30kb, 0.006934sec, RES=4308kb, VmSize=191596kb, 0.044081sec, 286704, 230
33, 14, NAN, 786.51kb, 0.007416sec, RES=4308kb, VmSize=191596kb, 0.031704sec, 34217, 6516
33, 15, NAN, 1572.94kb, 0.014219sec, RES=4308kb, VmSize=191596kb, 0.071873sec, 892515, 31990
33, 16, NAN, 3145.81kb, 0.029433sec, RES=5624kb, VmSize=193132kb, 0.043920sec, 23228, 20085
34, 3, NAN, 0.46kb, 0.000004sec, RES=5624kb, VmSize=193132kb, 121.370161sec, 2060433244, 3
34, 4, NAN, 0.85kb, 0.000008sec, RES=5624kb, VmSize=193132kb, 175.858908sec, 2982324873, 11
34, 5, NAN, 1.62kb, 0.000015sec, RES=5624kb, VmSize=193132kb, 8.217411sec, 139030774, 10
34, 6, NAN, 3.15kb, 0.000027sec, RES=5624kb, VmSize=193132kb, 17.137805sec, 290760878, 34
34, 7, NAN, 6.22kb, 0.000052sec, RES=5624kb, VmSize=193132kb, 0.303038sec, 5086352, 58
34, 8, NAN, 12.37kb, 0.000109sec, RES=5624kb, VmSize=193132kb, 3.223380sec, 54614614, 42
34, 9, NAN, 24.66kb, 0.000232sec, RES=5624kb, VmSize=193132kb, 0.772142sec, 13048239, 142
34, 10, NAN, 49.23kb, 0.000501sec, RES=5624kb, VmSize=193132kb, 1.730385sec, 29223924, 51
34, 11, NAN, 98.38kb, 0.010590sec, RES=5624kb, VmSize=193132kb, 0.758998sec, 12579289, 1121
34, 12, NAN, 196.69kb, 0.001623sec, RES=5624kb, VmSize=193132kb, 0.067664sec, 1084768, 3225
34, 13, NAN, 393.30kb, 0.003295sec, RES=5624kb, VmSize=193132kb, 0.026227sec, 379123, 1437
34, 14, NAN, 786.51kb, 0.010616sec, RES=5624kb, VmSize=193132kb, 0.022685sec, 141810, 8671
34, 15, NAN, 1572.94kb, 0.012876sec, RES=5624kb, VmSize=193132kb, 0.063446sec, 654793, 23007
34, 16, NAN, 3145.81kb, 0.028502sec, RES=5624kb, VmSize=193132kb, 0.043358sec, 66585, 12074
34, 17, NAN, 6291.54kb, 0.047904sec, RES=11960kb, VmSize=199280kb, 0.063790sec, 193667, 55456
35, 3, NAN, 0.46kb, 0.000003sec, RES=5844kb, VmSize=193132kb, 127.507343sec, 2160861054, 3
35, 4, NAN, 0.85kb, 0.000009sec, RES=5844kb, VmSize=193132kb, 169.406973sec, 2871121303, 10
35, 5, NAN, 1.62kb, 0.000014sec, RES=5844kb, VmSize=193132kb, 9.146000sec, 155341792, 27
35, 6, NAN, 3.15kb, 0.000026sec, RES=5844kb, VmSize=193132kb, 16.119193sec, 272966350, 28
35, 7, NAN, 6.22kb, 0.000052sec, RES=5844kb, VmSize=193132kb, 24.948058sec, 421585041, 11
35, 8, NAN, 12.37kb, 0.000102sec, RES=5844kb, VmSize=193132kb, 20.575922sec, 348686714, 90
35, 9, NAN, 24.66kb, 0.000200sec, RES=5844kb, VmSize=193132kb, 8.047019sec, 136265381, 132
35, 10, NAN, 49.23kb, 0.000393sec, RES=5844kb, VmSize=193132kb, 0.370295sec, 6274492, 373
35, 11, NAN, 98.38kb, 0.000786sec, RES=5844kb, VmSize=193132kb, 0.139775sec, 2336215, 1943
35, 12, NAN, 196.69kb, 0.001636sec, RES=5844kb, VmSize=193132kb, 0.334746sec, 5575336, 2496
35, 13, NAN, 393.30kb, 0.003266sec, RES=5844kb, VmSize=193132kb, 0.065623sec, 952899, 7481
35, 14, NAN, 786.51kb, 0.006597sec, RES=5844kb, VmSize=193132kb, 0.141112sec, 2246272, 873
35, 15, NAN, 1572.94kb, 0.013123sec, RES=5844kb, VmSize=193132kb, 0.092656sec, 1329013, 20902
35, 16, NAN, 3145.81kb, 0.025789sec, RES=5844kb, VmSize=193132kb, 0.038347sec, 128593, 50726
35, 17, NAN, 6291.54kb, 0.047178sec, RES=8744kb, VmSize=196204kb, 0.059845sec, 39082, 75705
