n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
8, 4, NAN, 0.00kb, 0.004788sec, RES=154268kb, VmSize=199752kb, 0.021544sec, 12, 1
9, 4, NAN, 0.00kb, 0.000087sec, RES=154824kb, VmSize=199756kb, 0.000491sec, 38, 7
10, 4, NAN, 0.00kb, 0.000086sec, RES=154824kb, VmSize=199772kb, 0.000481sec, 37, 12
10, 5, NAN, 0.00kb, 0.000296sec, RES=154824kb, VmSize=199772kb, 0.000656sec, 18, 27
11, 4, NAN, 0.00kb, 0.000086sec, RES=154824kb, VmSize=199772kb, 0.000561sec, 61, 5
11, 5, NAN, 0.00kb, 0.000151sec, RES=154824kb, VmSize=199772kb, 0.000683sec, 56, 28
12, 4, NAN, 0.00kb, 0.000082sec, RES=154824kb, VmSize=199772kb, 0.000759sec, 95, 12
12, 5, NAN, 0.00kb, 0.000148sec, RES=154824kb, VmSize=199772kb, 0.004232sec, 547, 8
12, 6, NAN, 0.00kb, 0.000323sec, RES=154824kb, VmSize=199788kb, 0.000809sec, 42, 31
13, 4, NAN, 0.00kb, 0.000084sec, RES=155148kb, VmSize=199788kb, 0.001563sec, 259, 10
13, 5, NAN, 0.00kb, 0.000153sec, RES=155148kb, VmSize=199788kb, 0.000914sec, 114, 11
13, 6, NAN, 0.00kb, 0.000277sec, RES=155148kb, VmSize=199788kb, 0.001437sec, 161, 55
14, 4, NAN, 0.00kb, 0.000083sec, RES=155148kb, VmSize=199788kb, 0.003506sec, 661, 11
14, 5, NAN, 0.00kb, 0.000152sec, RES=155148kb, VmSize=199804kb, 0.001003sec, 137, 3
14, 6, NAN, 0.00kb, 0.000279sec, RES=155148kb, VmSize=199804kb, 0.001427sec, 195, 5
14, 7, NAN, 0.00kb, 0.000549sec, RES=155148kb, VmSize=199804kb, 0.000922sec, 23, 29
15, 4, NAN, 0.00kb, 0.000085sec, RES=155148kb, VmSize=199804kb, 0.019284sec, 3926, 11
15, 5, NAN, 0.00kb, 0.000148sec, RES=155148kb, VmSize=199804kb, 0.005140sec, 958, 28
15, 6, NAN, 0.00kb, 0.000294sec, RES=155148kb, VmSize=199820kb, 0.001722sec, 239, 17
15, 7, NAN, 0.00kb, 0.000551sec, RES=155148kb, VmSize=199820kb, 0.001152sec, 82, 13
16, 4, NAN, 0.00kb, 0.000083sec, RES=155148kb, VmSize=199820kb, 0.010472sec, 2102, 8
16, 5, NAN, 0.00kb, 0.000148sec, RES=155148kb, VmSize=199820kb, 0.017124sec, 3456, 31
16, 6, NAN, 0.00kb, 0.000285sec, RES=155148kb, VmSize=199820kb, 0.006420sec, 1175, 57
16, 7, NAN, 0.00kb, 0.000554sec, RES=155148kb, VmSize=199836kb, 0.003055sec, 452, 28
16, 8, NAN, 0.00kb, 0.001089sec, RES=155148kb, VmSize=199836kb, 0.001408sec, 27, 9
17, 4, NAN, 0.00kb, 0.000082sec, RES=155148kb, VmSize=199836kb, 0.076506sec, 16042, 15
17, 5, NAN, 0.00kb, 0.000150sec, RES=155412kb, VmSize=199836kb, 0.028078sec, 5509, 18
17, 6, NAN, 0.00kb, 0.000278sec, RES=155412kb, VmSize=199836kb, 0.003544sec, 626, 1
17, 7, NAN, 0.00kb, 0.000559sec, RES=155412kb, VmSize=199852kb, 0.008623sec, 1557, 45
17, 8, NAN, 0.00kb, 0.001073sec, RES=155412kb, VmSize=199852kb, 0.011225sec, 1933, 137
18, 4, NAN, 0.00kb, 0.000088sec, RES=155412kb, VmSize=199852kb, 0.048272sec, 9994, 5
18, 5, NAN, 0.00kb, 0.000155sec, RES=155412kb, VmSize=199852kb, 0.034720sec, 7050, 29
18, 6, NAN, 0.00kb, 0.000291sec, RES=155412kb, VmSize=199852kb, 0.007322sec, 1374, 52
18, 7, NAN, 0.00kb, 0.000561sec, RES=155412kb, VmSize=199868kb, 0.004439sec, 710, 48
18, 8, NAN, 0.00kb, 0.001078sec, RES=155412kb, VmSize=199868kb, 0.002602sec, 106, 209
18, 9, NAN, 0.00kb, 0.002147sec, RES=155412kb, VmSize=199868kb, 0.007915sec, 741, 500
