n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
10, 4, NAN, 0.85kb, 0.000006sec, RES=1400kb, VmSize=3992kb, 0.027391sec, 24, 6
10, 5, NAN, 1.62kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.018235sec, 14, 1
11, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.025618sec, 135, 3
11, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000461sec, 40, 20
12, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000430sec, 249, 2
12, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.008483sec, 222, 15
12, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.000470sec, 30, 4
13, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000424sec, 429, 4
13, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000438sec, 1243, 20
13, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.000403sec, 124, 1
14, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000435sec, 1904, 12
14, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000429sec, 337, 15
14, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.000429sec, 320, 18
14, 7, NAN, 6.22kb, 0.000006sec, RES=1400kb, VmSize=159716kb, 0.000429sec, 114, 35
15, 4, NAN, 0.85kb, 0.000000sec, RES=1400kb, VmSize=159716kb, 0.000430sec, 932, 2
15, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000437sec, 2719, 7
15, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.000437sec, 1598, 7
15, 7, NAN, 6.22kb, 0.000005sec, RES=1400kb, VmSize=159716kb, 0.000428sec, 498, 60
16, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000456sec, 5424, 5
16, 5, NAN, 1.62kb, 0.000002sec, RES=1400kb, VmSize=159716kb, 0.000751sec, 6012, 13
16, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.001291sec, 646, 35
16, 7, NAN, 6.22kb, 0.000006sec, RES=1400kb, VmSize=159716kb, 0.000425sec, 22, 61
16, 8, NAN, 12.37kb, 0.000012sec, RES=1400kb, VmSize=159716kb, 0.000429sec, 378, 111
17, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000858sec, 12038, 14
17, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000449sec, 4488, 10
17, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.000428sec, 1278, 29
17, 7, NAN, 6.22kb, 0.000005sec, RES=1400kb, VmSize=159716kb, 0.000428sec, 822, 27
17, 8, NAN, 12.37kb, 0.000010sec, RES=1400kb, VmSize=159716kb, 0.000426sec, 559, 4
18, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000089sec, 1854, 15
18, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000084sec, 2842, 17
18, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.000060sec, 1793, 51
18, 7, NAN, 6.22kb, 0.000005sec, RES=1400kb, VmSize=159716kb, 0.000082sec, 2575, 72
18, 8, NAN, 12.37kb, 0.000010sec, RES=1400kb, VmSize=159716kb, 0.000044sec, 727, 122
18, 9, NAN, 24.66kb, 0.000025sec, RES=1400kb, VmSize=159716kb, 0.000049sec, 212, 428
19, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000680sec, 27784, 2
19, 5, NAN, 1.62kb, 0.000002sec, RES=1400kb, VmSize=159716kb, 0.000250sec, 9694, 3
19, 6, NAN, 3.15kb, 0.000002sec, RES=1400kb, VmSize=159716kb, 0.000326sec, 12625, 37
19, 7, NAN, 6.22kb, 0.000006sec, RES=1400kb, VmSize=159716kb, 0.000132sec, 4588, 81
19, 8, NAN, 12.37kb, 0.000011sec, RES=1400kb, VmSize=159716kb, 0.000053sec, 1052, 70
19, 9, NAN, 24.66kb, 0.000021sec, RES=1400kb, VmSize=159716kb, 0.000045sec, 109, 398
20, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.001425sec, 58917, 15
20, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.000233sec, 9053, 6
20, 6, NAN, 3.15kb, 0.000002sec, RES=1400kb, VmSize=159716kb, 0.001135sec, 46509, 5
20, 7, NAN, 6.22kb, 0.000005sec, RES=1400kb, VmSize=159716kb, 0.000031sec, 430, 33
20, 8, NAN, 12.37kb, 0.000010sec, RES=1400kb, VmSize=159716kb, 0.000144sec, 4867, 156
20, 9, NAN, 24.66kb, 0.000021sec, RES=1400kb, VmSize=159716kb, 0.000206sec, 6931, 383
20, 10, NAN, 49.23kb, 0.000050sec, RES=1400kb, VmSize=159716kb, 0.000102sec, 1413, 94
21, 4, NAN, 0.85kb, 0.000000sec, RES=1400kb, VmSize=159716kb, 0.000175sec, 6613, 7
21, 5, NAN, 1.62kb, 0.000002sec, RES=1400kb, VmSize=159716kb, 0.000680sec, 27530, 24
21, 6, NAN, 3.15kb, 0.000003sec, RES=1400kb, VmSize=159716kb, 0.001578sec, 64490, 56
21, 7, NAN, 6.22kb, 0.000006sec, RES=1400kb, VmSize=159716kb, 0.000446sec, 17467, 22
21, 8, NAN, 12.37kb, 0.000011sec, RES=1400kb, VmSize=159716kb, 0.000035sec, 295, 55
21, 9, NAN, 24.66kb, 0.000021sec, RES=1400kb, VmSize=159716kb, 0.000224sec, 7715, 312
21, 10, NAN, 49.23kb, 0.000043sec, RES=1400kb, VmSize=159716kb, 0.000086sec, 1130, 496
22, 4, NAN, 0.85kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.012009sec, 84928, 7
22, 5, NAN, 1.62kb, 0.000001sec, RES=1400kb, VmSize=159716kb, 0.007745sec, 83414, 4
22, 6, NAN, 3.15kb, 0.000002sec, RES=1400kb, VmSize=159716kb, 0.001124sec, 45822, 40
22, 7, NAN, 6.22kb, 0.000006sec, RES=1400kb, VmSize=159716kb, 0.000384sec, 14730, 31
22, 8, NAN, 12.37kb, 0.000010sec, RES=1400kb, VmSize=159716kb, 0.000143sec, 4727, 144
22, 9, NAN, 24.66kb, 0.000021sec, RES=1400kb, VmSize=159716kb, 0.000103sec, 937, 451
22, 10, NAN, 49.23kb, 0.000042sec, RES=1400kb, VmSize=159716kb, 0.000112sec, 2076, 400
22, 11, NAN, 98.38kb, 0.000103sec, RES=2820kb, VmSize=159716kb, 0.000139sec, 616, 973
23, 4, NAN, 0.85kb, 0.000001sec, RES=2820kb, VmSize=159716kb, 0.021650sec, 865304, 6
23, 5, NAN, 1.62kb, 0.000002sec, RES=2820kb, VmSize=159716kb, 0.003851sec, 157668, 20
23, 6, NAN, 3.15kb, 0.000002sec, RES=2820kb, VmSize=159716kb, 0.000437sec, 2191, 12
23, 7, NAN, 6.22kb, 0.000006sec, RES=2820kb, VmSize=159716kb, 0.000510sec, 14564, 58
23, 8, NAN, 12.37kb, 0.000011sec, RES=2820kb, VmSize=159716kb, 0.000458sec, 6642, 78
23, 9, NAN, 24.66kb, 0.000021sec, RES=2820kb, VmSize=159716kb, 0.000457sec, 4367, 438
23, 10, NAN, 49.23kb, 0.000042sec, RES=2820kb, VmSize=159716kb, 0.000476sec, 9749, 660
23, 11, NAN, 98.38kb, 0.000087sec, RES=2820kb, VmSize=159716kb, 0.000433sec, 1417, 989
24, 4, NAN, 0.85kb, 0.000001sec, RES=2820kb, VmSize=159716kb, 0.053926sec, 2237116, 9
24, 5, NAN, 1.62kb, 0.000002sec, RES=2820kb, VmSize=159716kb, 0.005091sec, 210007, 25
24, 6, NAN, 3.15kb, 0.000003sec, RES=2820kb, VmSize=159716kb, 0.001631sec, 65784, 46
24, 7, NAN, 6.22kb, 0.000006sec, RES=2820kb, VmSize=159716kb, 0.001471sec, 58859, 88
24, 8, NAN, 12.37kb, 0.000011sec, RES=2820kb, VmSize=159716kb, 0.001916sec, 77009, 126
