n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
12, 9, NAN, 57kb, 0.000046sec, RES=2520kb, VmSize=4132kb, -1sec, 0
12, 10, NAN, 114kb, 0.000062sec, RES=2520kb, VmSize=4280kb, -1sec, 0
12, 11, NAN, 229kb, 0.000091sec, RES=2784kb, VmSize=4440kb, -1sec, 0
13, 1, NAN, 0kb, 0.000000sec, RES=2784kb, VmSize=4440kb, 0.000903sec, 1739
13, 2, NAN, 0kb, 0.000001sec, RES=2784kb, VmSize=4440kb, 0.001457sec, 2859
13, 3, NAN, 0kb, 0.000004sec, RES=2784kb, VmSize=4572kb, 0.000256sec, 510
13, 4, NAN, 1kb, 0.000005sec, RES=2920kb, VmSize=4568kb, 0.000030sec, 40
13, 5, NAN, 3kb, 0.000008sec, RES=2920kb, VmSize=4568kb, 0.000098sec, 166
13, 6, NAN, 7kb, 0.000018sec, RES=2920kb, VmSize=4568kb, 0.000093sec, 132
13, 7, NAN, 14kb, 0.000025sec, RES=2920kb, VmSize=4568kb, -1sec, 0
13, 8, NAN, 28kb, 0.000031sec, RES=2920kb, VmSize=4568kb, -1sec, 0
13, 9, NAN, 57kb, 0.000037sec, RES=2920kb, VmSize=4568kb, -1sec, 0
13, 10, NAN, 114kb, 0.000057sec, RES=2920kb, VmSize=4716kb, -1sec, 0
13, 11, NAN, 229kb, 0.000079sec, RES=3180kb, VmSize=4876kb, -1sec, 0
13, 12, NAN, 458kb, 0.000076sec, RES=3444kb, VmSize=5332kb, -1sec, 0
14, 1, NAN, 0kb, 0.000001sec, RES=3444kb, VmSize=5332kb, 0.002892sec, 5629
14, 2, NAN, 0kb, 0.000001sec, RES=3444kb, VmSize=5332kb, 0.000190sec, 353
14, 3, NAN, 0kb, 0.000003sec, RES=3444kb, VmSize=5332kb, 0.000613sec, 1174
14, 4, NAN, 1kb, 0.000005sec, RES=3444kb, VmSize=5332kb, 0.001637sec, 3131
14, 5, NAN, 3kb, 0.000011sec, RES=3444kb, VmSize=5464kb, 0.000221sec, 390
14, 6, NAN, 7kb, 0.000019sec, RES=3556kb, VmSize=5460kb, 0.000086sec, 118
14, 7, NAN, 14kb, 0.000036sec, RES=3556kb, VmSize=5460kb, 0.000164sec, 232
14, 8, NAN, 28kb, 0.000055sec, RES=3556kb, VmSize=5460kb, -1sec, 0
14, 9, NAN, 57kb, 0.000072sec, RES=3556kb, VmSize=5460kb, -1sec, 0
14, 10, NAN, 114kb, 0.000081sec, RES=3556kb, VmSize=5592kb, -1sec, 0
14, 11, NAN, 229kb, 0.000111sec, RES=3816kb, VmSize=5752kb, -1sec, 0
14, 12, NAN, 458kb, 0.000105sec, RES=4080kb, VmSize=6208kb, -1sec, 0
14, 13, NAN, 917kb, 0.000149sec, RES=4332kb, VmSize=7112kb, -1sec, 0
15, 1, NAN, 0kb, 0.000001sec, RES=4332kb, VmSize=7112kb, 0.002180sec, 4179
15, 2, NAN, 0kb, 0.000002sec, RES=4332kb, VmSize=7112kb, 0.003620sec, 7014
15, 3, NAN, 0kb, 0.000003sec, RES=4332kb, VmSize=7112kb, 0.006101sec, 12384
15, 4, NAN, 1kb, 0.000005sec, RES=4332kb, VmSize=7112kb, 0.000226sec, 445
15, 5, NAN, 3kb, 0.000010sec, RES=4332kb, VmSize=7244kb, 0.000735sec, 1458
15, 6, NAN, 7kb, 0.000020sec, RES=4568kb, VmSize=7240kb, 0.000125sec, 206
15, 7, NAN, 14kb, 0.000034sec, RES=4568kb, VmSize=7240kb, 0.000259sec, 425
15, 8, NAN, 28kb, 0.000067sec, RES=4568kb, VmSize=7240kb, 0.000089sec, 32
15, 9, NAN, 57kb, 0.000084sec, RES=4568kb, VmSize=7240kb, -1sec, 0
15, 10, NAN, 114kb, 0.000098sec, RES=4568kb, VmSize=7408kb, -1sec, 0
15, 11, NAN, 229kb, 0.000099sec, RES=4568kb, VmSize=7540kb, -1sec, 0
15, 12, NAN, 458kb, 0.000132sec, RES=4812kb, VmSize=7996kb, -1sec, 0
15, 13, NAN, 917kb, 0.000180sec, RES=5324kb, VmSize=8900kb, -1sec, 0
15, 14, NAN, 1835kb, 0.000274sec, RES=6100kb, VmSize=10700kb, -1sec, 0
16, 1, NAN, 0kb, 0.000001sec, RES=6100kb, VmSize=10700kb, 0.027563sec, 56237
16, 2, NAN, 0kb, 0.000001sec, RES=6100kb, VmSize=10700kb, 0.000170sec, 335
16, 3, NAN, 0kb, 0.000002sec, RES=6100kb, VmSize=10700kb, 0.000172sec, 341
16, 4, NAN, 1kb, 0.000006sec, RES=6100kb, VmSize=10700kb, 0.002691sec, 5496
16, 5, NAN, 3kb, 0.000012sec, RES=6100kb, VmSize=10700kb, 0.002343sec, 4776
16, 6, NAN, 7kb, 0.000017sec, RES=6100kb, VmSize=10700kb, 0.000166sec, 295
16, 7, NAN, 14kb, 0.000035sec, RES=6100kb, VmSize=10700kb, 0.000397sec, 736
16, 8, NAN, 28kb, 0.000066sec, RES=6100kb, VmSize=10700kb, 0.000082sec, 20
16, 9, NAN, 57kb, 0.000132sec, RES=6100kb, VmSize=10852kb, 0.000190sec, 107
16, 10, NAN, 114kb, 0.000178sec, RES=6208kb, VmSize=10796kb, -1sec, 0
16, 11, NAN, 229kb, 0.000216sec, RES=6468kb, VmSize=11004kb, -1sec, 0
16, 12, NAN, 458kb, 0.000212sec, RES=6704kb, VmSize=11460kb, -1sec, 0
16, 13, NAN, 917kb, 0.000252sec, RES=6956kb, VmSize=12364kb, -1sec, 0
16, 14, NAN, 1835kb, 0.000354sec, RES=7708kb, VmSize=14164kb, -1sec, 0
16, 15, NAN, 3670kb, 0.000540sec, RES=9252kb, VmSize=17756kb, -1sec, 0
17, 1, NAN, 0kb, 0.000001sec, RES=9252kb, VmSize=17756kb, 0.020733sec, 42776
