n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
24, 23, NAN, 939524kb, 0.085891sec, RES=1576408kb, VmSize=3671964kb, -1sec, 0
25, 1, NAN, 0kb, 0.000001sec, RES=1576408kb, VmSize=3671964kb, 7.203252sec, 15609741
25, 2, NAN, 0kb, 0.000003sec, RES=1576408kb, VmSize=3671964kb, 3.787359sec, 8182597
25, 3, NAN, 0kb, 0.000028sec, RES=1576408kb, VmSize=3671964kb, 0.377290sec, 813941
25, 4, NAN, 1kb, 0.000029sec, RES=1576408kb, VmSize=3671964kb, 0.624761sec, 1345353
25, 5, NAN, 3kb, 0.000008sec, RES=1576408kb, VmSize=3671964kb, 0.470658sec, 1013177
25, 6, NAN, 7kb, 0.000017sec, RES=1576408kb, VmSize=3671964kb, 0.389122sec, 836955
25, 7, NAN, 14kb, 0.000031sec, RES=1576408kb, VmSize=3671964kb, 0.012827sec, 27540
25, 8, NAN, 28kb, 0.000060sec, RES=1576408kb, VmSize=3671964kb, 0.011507sec, 24705
25, 9, NAN, 57kb, 0.000122sec, RES=1576408kb, VmSize=3671964kb, 0.054936sec, 118378
25, 10, NAN, 114kb, 0.000238sec, RES=1576408kb, VmSize=3671964kb, 0.012625sec, 26622
25, 11, NAN, 229kb, 0.000522sec, RES=1576408kb, VmSize=3672188kb, 0.001896sec, 2917
25, 12, NAN, 458kb, 0.001026sec, RES=1576504kb, VmSize=3672412kb, 0.003744sec, 5805
25, 13, NAN, 917kb, 0.002023sec, RES=1576800kb, VmSize=3672868kb, 0.005539sec, 7397
25, 14, NAN, 1835kb, 0.002240sec, RES=1577184kb, VmSize=3673764kb, -1sec, 0
25, 15, NAN, 3670kb, 0.002399sec, RES=1578728kb, VmSize=3677356kb, -1sec, 0
25, 16, NAN, 7340kb, 0.002880sec, RES=1581808kb, VmSize=3684532kb, -1sec, 0
25, 17, NAN, 14680kb, 0.003799sec, RES=1587960kb, VmSize=3698876kb, -1sec, 0
25, 18, NAN, 29360kb, 0.005126sec, RES=1600256kb, VmSize=3727556kb, -1sec, 0
25, 19, NAN, 58720kb, 0.007741sec, RES=1624840kb, VmSize=3784908kb, -1sec, 0
25, 20, NAN, 117440kb, 0.012776sec, RES=1674000kb, VmSize=3899604kb, -1sec, 0
25, 21, NAN, 234881kb, 0.023084sec, RES=1772312kb, VmSize=4128988kb, -1sec, 0
25, 22, NAN, 469762kb, 0.042960sec, RES=1968928kb, VmSize=4587748kb, -1sec, 0
25, 23, NAN, 939524kb, 0.082710sec, RES=2362152kb, VmSize=5505260kb, -1sec, 0
25, 24, NAN, 1879048kb, 0.162362sec, RES=3148592kb, VmSize=7340276kb, -1sec, 0
26, 1, NAN, 0kb, 0.000001sec, RES=3148592kb, VmSize=7340276kb, 11.055629sec, 23947298
26, 2, NAN, 0kb, 0.000001sec, RES=3148592kb, VmSize=7340276kb, 11.816571sec, 25529508
26, 3, NAN, 0kb, 0.000002sec, RES=3148592kb, VmSize=7340276kb, 1.941404sec, 4204060
26, 4, NAN, 1kb, 0.000004sec, RES=3148592kb, VmSize=7340276kb, 7.463392sec, 16095443
26, 5, NAN, 3kb, 0.000008sec, RES=3148592kb, VmSize=7340276kb, 0.044631sec, 96420
26, 6, NAN, 7kb, 0.000017sec, RES=3148592kb, VmSize=7340276kb, 0.787849sec, 1698447
26, 7, NAN, 14kb, 0.000032sec, RES=3148592kb, VmSize=7340276kb, 0.061348sec, 132187
26, 8, NAN, 28kb, 0.000060sec, RES=3148592kb, VmSize=7340276kb, 0.049696sec, 105966
26, 9, NAN, 57kb, 0.000124sec, RES=3148592kb, VmSize=7340276kb, 0.019223sec, 40938
26, 10, NAN, 114kb, 0.000238sec, RES=3148592kb, VmSize=7340276kb, 0.002096sec, 3960
26, 11, NAN, 229kb, 0.000522sec, RES=3148592kb, VmSize=7340500kb, 0.024035sec, 50225
26, 12, NAN, 458kb, 0.001030sec, RES=3148824kb, VmSize=7340724kb, 0.013610sec, 26780
26, 13, NAN, 917kb, 0.001868sec, RES=3149048kb, VmSize=7341172kb, -1sec, 0
26, 14, NAN, 1835kb, 0.001950sec, RES=3149824kb, VmSize=7342972kb, -1sec, 0
26, 15, NAN, 3670kb, 0.002232sec, RES=3151368kb, VmSize=7346564kb, -1sec, 0
26, 16, NAN, 7340kb, 0.002693sec, RES=3154448kb, VmSize=7353740kb, -1sec, 0
26, 17, NAN, 14680kb, 0.003493sec, RES=3160600kb, VmSize=7368084kb, -1sec, 0
26, 18, NAN, 29360kb, 0.004869sec, RES=3172896kb, VmSize=7396764kb, -1sec, 0
26, 19, NAN, 58720kb, 0.007411sec, RES=3197480kb, VmSize=7454116kb, -1sec, 0
26, 20, NAN, 117440kb, 0.012568sec, RES=3246640kb, VmSize=7568812kb, -1sec, 0
26, 21, NAN, 234881kb, 0.023130sec, RES=3344952kb, VmSize=7798196kb, -1sec, 0
26, 22, NAN, 469762kb, 0.042542sec, RES=3541568kb, VmSize=8256956kb, -1sec, 0
26, 23, NAN, 939524kb, 0.082605sec, RES=3934792kb, VmSize=9174468kb, -1sec, 0
26, 24, NAN, 1879048kb, 0.162162sec, RES=4721232kb, VmSize=11009484kb, -1sec, 0
26, 25, NAN, 3758096kb, 0.319821sec, RES=6294104kb, VmSize=14679508kb, -1sec, 0
27, 1, NAN, 0kb, 0.000001sec, RES=6294104kb, VmSize=14679508kb, 57.458026sec, 124486898
27, 2, NAN, 0kb, 0.000002sec, RES=6294104kb, VmSize=14679508kb, 1.450095sec, 3131938
27, 3, NAN, 0kb, 0.000002sec, RES=6294104kb, VmSize=14679508kb, 9.454782sec, 20423448
27, 4, NAN, 1kb, 0.000004sec, RES=6294104kb, VmSize=14679508kb, 1.116508sec, 2402987
27, 5, NAN, 3kb, 0.000013sec, RES=6294104kb, VmSize=14679508kb, 1.128376sec, 2431437
27, 6, NAN, 7kb, 0.000019sec, RES=6294104kb, VmSize=14679508kb, 3.145399sec, 6778036
27, 7, NAN, 14kb, 0.000033sec, RES=6294104kb, VmSize=14679508kb, 0.012253sec, 26336
27, 8, NAN, 28kb, 0.000062sec, RES=6294104kb, VmSize=14679508kb, 0.069568sec, 150155
27, 9, NAN, 57kb, 0.000128sec, RES=6294104kb, VmSize=14679508kb, 0.071660sec, 152886
27, 10, NAN, 114kb, 0.000275sec, RES=6294160kb, VmSize=14679508kb, 0.066196sec, 141744
27, 11, NAN, 229kb, 0.000303sec, RES=6294160kb, VmSize=14679732kb, -1sec, 0
27, 12, NAN, 458kb, 0.000356sec, RES=6294388kb, VmSize=14680180kb, -1sec, 0
27, 13, NAN, 917kb, 0.000398sec, RES=6294916kb, VmSize=14681076kb, -1sec, 0
27, 14, NAN, 1835kb, 0.000421sec, RES=6295708kb, VmSize=14682876kb, -1sec, 0
27, 15, NAN, 3670kb, 0.000617sec, RES=6297224kb, VmSize=14686468kb, -1sec, 0
27, 16, NAN, 7340kb, 0.000920sec, RES=6300324kb, VmSize=14693644kb, -1sec, 0
27, 17, NAN, 14680kb, 0.001539sec, RES=6306592kb, VmSize=14707988kb, -1sec, 0
27, 18, NAN, 29360kb, 0.002905sec, RES=6318932kb, VmSize=14736668kb, -1sec, 0
27, 19, NAN, 58720kb, 0.005312sec, RES=6343416kb, VmSize=14794020kb, -1sec, 0
27, 20, NAN, 117440kb, 0.010335sec, RES=6392680kb, VmSize=14908716kb, -1sec, 0
27, 21, NAN, 234881kb, 0.020568sec, RES=6490856kb, VmSize=15138100kb, -1sec, 0
27, 22, NAN, 469762kb, 0.040244sec, RES=6687468kb, VmSize=15596860kb, -1sec, 0
27, 23, NAN, 939524kb, 0.079924sec, RES=7080760kb, VmSize=16514372kb, -1sec, 0
27, 24, NAN, 1879048kb, 0.159191sec, RES=7867148kb, VmSize=18349388kb, -1sec, 0
27, 25, NAN, 3758096kb, 0.316882sec, RES=9439992kb, VmSize=22019412kb, -1sec, 0
28, 1, NAN, 0kb, 0.000001sec, RES=9439992kb, VmSize=22019412kb, 109.026502sec, 235821575
28, 2, NAN, 0kb, 0.000002sec, RES=9439992kb, VmSize=22019412kb, 15.979378sec, 34680850
28, 3, NAN, 0kb, 0.000003sec, RES=9439992kb, VmSize=22019412kb, 4.246429sec, 9166568
28, 4, NAN, 1kb, 0.000008sec, RES=9439992kb, VmSize=22019412kb, 10.501199sec, 22618753
28, 5, NAN, 3kb, 0.000008sec, RES=9439992kb, VmSize=22019412kb, 0.674321sec, 1452746
28, 6, NAN, 7kb, 0.000019sec, RES=9439992kb, VmSize=22019412kb, 0.726520sec, 1563552
28, 7, NAN, 14kb, 0.000033sec, RES=9439992kb, VmSize=22019412kb, 1.588539sec, 3421024
28, 8, NAN, 28kb, 0.000062sec, RES=9439992kb, VmSize=22019412kb, 0.594042sec, 1280117
28, 9, NAN, 57kb, 0.000127sec, RES=9440188kb, VmSize=22019412kb, 0.479551sec, 1031735
28, 10, NAN, 114kb, 0.000293sec, RES=9440188kb, VmSize=22019412kb, 0.054479sec, 116680
28, 11, NAN, 229kb, 0.000511sec, RES=9440188kb, VmSize=22019636kb, 0.079685sec, 169677
28, 12, NAN, 458kb, 0.001034sec, RES=9440364kb, VmSize=22019860kb, 0.018951sec, 38298
28, 13, NAN, 917kb, 0.002016sec, RES=9440728kb, VmSize=22020308kb, 0.007699sec, 12148
28, 14, NAN, 1835kb, 0.003510sec, RES=9440920kb, VmSize=22021336kb, -1sec, 0
28, 15, NAN, 3670kb, 0.003840sec, RES=9442464kb, VmSize=22024928kb, -1sec, 0
28, 16, NAN, 7340kb, 0.004191sec, RES=9445544kb, VmSize=22032104kb, -1sec, 0
28, 17, NAN, 14680kb, 0.005059sec, RES=9451696kb, VmSize=22046448kb, -1sec, 0
28, 18, NAN, 29360kb, 0.006650sec, RES=9463992kb, VmSize=22075128kb, -1sec, 0
28, 19, NAN, 58720kb, 0.009256sec, RES=9488576kb, VmSize=22132480kb, -1sec, 0
28, 20, NAN, 117440kb, 0.014349sec, RES=9537736kb, VmSize=22247176kb, -1sec, 0
28, 21, NAN, 234881kb, 0.024230sec, RES=9636048kb, VmSize=22476560kb, -1sec, 0
28, 22, NAN, 469762kb, 0.044065sec, RES=9832664kb, VmSize=22935320kb, -1sec, 0
28, 23, NAN, 939524kb, 0.083481sec, RES=10225888kb, VmSize=23852832kb, -1sec, 0
28, 24, NAN, 1879048kb, 0.161134sec, RES=11012328kb, VmSize=25687848kb, -1sec, 0
28, 25, NAN, 3758096kb, 0.318171sec, RES=12585200kb, VmSize=29357872kb, -1sec, 0
29, 1, NAN, 0kb, 0.000001sec, RES=12585200kb, VmSize=29357872kb, 143.201026sec, 311035369
29, 2, NAN, 0kb, 0.000002sec, RES=12585200kb, VmSize=29357872kb, 103.626494sec, 223275936
29, 3, NAN, 0kb, 0.000003sec, RES=12585200kb, VmSize=29357872kb, 34.193622sec, 73744793
29, 4, NAN, 1kb, 0.000008sec, RES=12585200kb, VmSize=29357872kb, 54.963235sec, 118036255
29, 5, NAN, 3kb, 0.000008sec, RES=12585200kb, VmSize=29357872kb, 1.259694sec, 2715114
29, 6, NAN, 7kb, 0.000022sec, RES=12585200kb, VmSize=29357872kb, 0.314897sec, 678178
29, 7, NAN, 14kb, 0.000036sec, RES=12585200kb, VmSize=29357872kb, 0.420034sec, 904963
29, 8, NAN, 28kb, 0.000063sec, RES=12585200kb, VmSize=29357872kb, 0.438459sec, 942682
29, 9, NAN, 57kb, 0.000131sec, RES=12585200kb, VmSize=29357872kb, 0.346576sec, 745361
29, 10, NAN, 114kb, 0.000274sec, RES=12585200kb, VmSize=29357872kb, 0.000691sec, 863
29, 11, NAN, 229kb, 0.000518sec, RES=12585200kb, VmSize=29357872kb, 0.010742sec, 21855
29, 12, NAN, 458kb, 0.000991sec, RES=12585452kb, VmSize=29358192kb, 0.084473sec, 178351
29, 13, NAN, 917kb, 0.002051sec, RES=12585780kb, VmSize=29358640kb, 0.124410sec, 261408
29, 14, NAN, 1835kb, 0.003959sec, RES=12585972kb, VmSize=29359668kb, 0.006302sec, 4972
29, 15, NAN, 3670kb, 0.008340sec, RES=12587512kb, VmSize=29362232kb, 0.014321sec, 12719
29, 16, NAN, 7340kb, 0.015605sec, RES=12589048kb, VmSize=29365816kb, -1sec, 0
29, 17, NAN, 14680kb, 0.017081sec, RES=12595200kb, VmSize=29380160kb, -1sec, 0
29, 18, NAN, 29360kb, 0.019519sec, RES=12607496kb, VmSize=29408840kb, -1sec, 0
29, 19, NAN, 58720kb, 0.023505sec, RES=12632080kb, VmSize=29466192kb, -1sec, 0
29, 20, NAN, 117440kb, 0.029449sec, RES=12681240kb, VmSize=29580888kb, -1sec, 0
29, 21, NAN, 234881kb, 0.039472sec, RES=12779552kb, VmSize=29810272kb, -1sec, 0
29, 22, NAN, 469762kb, 0.059456sec, RES=12976168kb, VmSize=30269032kb, -1sec, 0
29, 23, NAN, 939524kb, 0.099649sec, RES=13369392kb, VmSize=31186544kb, -1sec, 0
29, 24, NAN, 1879048kb, 0.178113sec, RES=14155832kb, VmSize=33021560kb, -1sec, 0
29, 25, NAN, 3758096kb, 0.335355sec, RES=15728704kb, VmSize=36691584kb, -1sec, 0
30, 1, NAN, 0kb, 0.000001sec, RES=15728704kb, VmSize=36691584kb, 61.112479sec, 132709109
30, 2, NAN, 0kb, 0.000002sec, RES=15728704kb, VmSize=36691584kb, 295.826495sec, 640445561
30, 3, NAN, 0kb, 0.000003sec, RES=15728704kb, VmSize=36691584kb, 25.002685sec, 53703492
30, 4, NAN, 1kb, 0.000005sec, RES=15728704kb, VmSize=36691584kb, 22.835324sec, 49327796
30, 5, NAN, 3kb, 0.000009sec, RES=15728704kb, VmSize=36691584kb, 39.352618sec, 84730688
30, 6, NAN, 7kb, 0.000016sec, RES=15728704kb, VmSize=36691584kb, 3.110105sec, 6699736
30, 7, NAN, 14kb, 0.000036sec, RES=15728704kb, VmSize=36691584kb, 1.125636sec, 2423158
30, 8, NAN, 28kb, 0.000062sec, RES=15728704kb, VmSize=36691584kb, 1.451387sec, 3124912
30, 9, NAN, 57kb, 0.000122sec, RES=15728704kb, VmSize=36691584kb, 0.756189sec, 1627477
30, 10, NAN, 114kb, 0.000248sec, RES=15728704kb, VmSize=36691584kb, 0.316626sec, 678935
30, 11, NAN, 229kb, 0.000490sec, RES=15728704kb, VmSize=36691584kb, 0.378022sec, 808807
30, 12, NAN, 458kb, 0.000959sec, RES=15728704kb, VmSize=36691584kb, 0.014920sec, 29931
30, 13, NAN, 917kb, 0.001949sec, RES=15728704kb, VmSize=36691584kb, 0.003182sec, 2624
30, 14, NAN, 1835kb, 0.003937sec, RES=15728964kb, VmSize=36692480kb, 0.031192sec, 58179
30, 15, NAN, 3670kb, 0.005831sec, RES=15729860kb, VmSize=36694272kb, -1sec, 0
30, 16, NAN, 7340kb, 0.006438sec, RES=15732940kb, VmSize=36701448kb, -1sec, 0
30, 17, NAN, 14680kb, 0.007456sec, RES=15739092kb, VmSize=36715792kb, -1sec, 0
30, 18, NAN, 29360kb, 0.009199sec, RES=15751388kb, VmSize=36744472kb, -1sec, 0
30, 19, NAN, 58720kb, 0.012161sec, RES=15775972kb, VmSize=36801824kb, -1sec, 0
30, 20, NAN, 117440kb, 0.017537sec, RES=15825132kb, VmSize=36916520kb, -1sec, 0
30, 21, NAN, 234881kb, 0.027425sec, RES=15923444kb, VmSize=37145904kb, -1sec, 0
30, 22, NAN, 469762kb, 0.047310sec, RES=16120060kb, VmSize=37604664kb, -1sec, 0
30, 23, NAN, 939524kb, 0.086669sec, RES=16513288kb, VmSize=38522176kb, -1sec, 0
30, 24, NAN, 1879048kb, 0.165000sec, RES=17299728kb, VmSize=40357192kb, -1sec, 0
30, 25, NAN, 3758096kb, 0.317924sec, RES=18872600kb, VmSize=44027216kb, -1sec, 0

