n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
64, 31, NAN, 19090664.00kb, 393.535717sec, RES=18643788kb, VmSize=18645352kb, 507.107739sec, 5122949740, 17662105473891211880
65, 31, NAN, 19090664.00kb, 383.885404sec, RES=18644064kb, VmSize=18801076kb, 501.313022sec, 5315713661, 17662105473891211880
66, 31, NAN, 19090664.00kb, 386.677037sec, RES=18644064kb, VmSize=18801076kb, 505.095741sec, 5374789999, 17662105473891211880
67, 31, NAN, 19090664.00kb, 383.547858sec, RES=18644064kb, VmSize=18801076kb, 502.487318sec, 5390309295, 17662105473891211880
68, 31, NAN, 19090664.00kb, 432.827199sec, RES=18644068kb, VmSize=18801076kb, 551.035604sec, 5393290119, 17662105473891211880
69, 31, NAN, 19090664.00kb, 433.383262sec, RES=18644068kb, VmSize=18801076kb, 550.710299sec, 5351703250, 17662105473891211880
70, 31, NAN, 19090664.00kb, 432.833691sec, RES=18644068kb, VmSize=18801076kb, 550.206270sec, 5350622989, 17662105473891211880
71, 31, NAN, 19090664.00kb, 431.894528sec, RES=18644068kb, VmSize=18801076kb, 549.175949sec, 5353180207, 17662105473891211880
72, 31, NAN, 19090664.00kb, 433.795968sec, RES=18644068kb, VmSize=18801076kb, 550.891990sec, 5345774567, 17662105473891211880
73, 31, NAN, 19090664.00kb, 431.512904sec, RES=18644068kb, VmSize=18801076kb, 548.738343sec, 5349032403, 17662105473891211880
74, 31, NAN, 19090664.00kb, 431.400971sec, RES=18644068kb, VmSize=18801076kb, 548.630539sec, 5351070807, 17662105473891211880
75, 31, NAN, 19090664.00kb, 433.614106sec, RES=18644068kb, VmSize=18801076kb, 550.861574sec, 5350126315, 17662105473891211880
76, 31, NAN, 19090664.00kb, 388.013762sec, RES=18644068kb, VmSize=18801076kb, 506.071743sec, 5357680819, 17662105473891211880
77, 31, NAN, 19090664.00kb, 387.451360sec, RES=18644068kb, VmSize=18801076kb, 505.191736sec, 5348237342, 17662105473891211880
78, 31, NAN, 19090664.00kb, 385.004327sec, RES=18644068kb, VmSize=18801076kb, 502.764338sec, 5349340186, 17662105473891211880
79, 31, NAN, 19090664.00kb, 384.533066sec, RES=18644068kb, VmSize=18801076kb, 502.563814sec, 5360758031, 17662105473891211880
80, 31, NAN, 19090664.00kb, 387.192904sec, RES=18644068kb, VmSize=18801076kb, 505.157595sec, 5355755208, 17662105473891211880
